name,platforms,original_price,discounted_price,discount,product_type,rank_in_sale,sale_name,date_recorded
LEGO® Star Wars™:The Skywalker Saga Deluxe Edition PS4 & PS5,"['PS4', 'PS5']",£59.99,£44.99,-25%,PREMIUM_EDITION,1,WM_EU_DEALS,2022-07-22 00:00:00+00:00
WWE 2K22 for PS4™,['PS4'],£59.99,£32.99,-45%,FULL_GAME,2,WM_EU_DEALS,2022-07-22 00:00:00+00:00
WWE 2K22 for PS5™,['PS5'],£64.99,£38.99,-40%,FULL_GAME,3,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Call of Duty®: Vanguard - Cross-Gen Bundle,"['PS4', 'PS5']",£69.99,£34.99,-50%,PREMIUM_EDITION,4,WM_EU_DEALS,2022-07-22 00:00:00+00:00
God of War™,['PS4'],£15.99,£7.99,-50%,FULL_GAME,5,WM_EU_DEALS,2022-07-22 00:00:00+00:00
STAR WARS Jedi: Fallen Order™,"['PS4', 'PS5']",£44.99,£8.99,-80%,FULL_GAME,6,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Grand Theft Auto V: Premium Edition,['PS4'],£29.99,£12.59,-58%,FULL_GAME,7,WM_EU_DEALS,2022-07-22 00:00:00+00:00
The Quarry for PS4™,['PS4'],£59.99,£40.19,-33%,FULL_GAME,8,WM_EU_DEALS,2022-07-22 00:00:00+00:00
The Quarry for PS5™,['PS5'],£64.99,£43.54,-33%,FULL_GAME,9,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Red Dead Redemption 2,['PS4'],£54.99,£21.99,-60%,FULL_GAME,10,WM_EU_DEALS,2022-07-22 00:00:00+00:00
It Takes Two PS4™ & PS5™,"['PS4', 'PS5']",£34.99,£17.49,-50%,GAME_BUNDLE,11,WM_EU_DEALS,2022-07-22 00:00:00+00:00
FAR CRY®6 Standard Edition PS4 & PS5,"['PS4', 'PS5']",£59.99,£23.99,-60%,GAME_BUNDLE,12,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Ratchet & Clank: Rift Apart,['PS5'],£69.99,£43.39,-38%,FULL_GAME,13,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Sifu,"['PS4', 'PS5']",£32.99,£26.39,-20%,FULL_GAME,14,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Ghostwire: Tokyo,['PS5'],£59.99,£29.99,-50%,FULL_GAME,15,WM_EU_DEALS,2022-07-22 00:00:00+00:00
TEKKEN 7,['PS4'],£39.99,£5.99,-85%,FULL_GAME,16,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Batman: Arkham Collection,['PS4'],£49.99,£14.99,-70%,FULL_GAME,17,WM_EU_DEALS,2022-07-22 00:00:00+00:00
UFC® 4,['PS4'],£54.99,£10.44,-81%,FULL_GAME,18,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Kena: Bridge of Spirits PS4 & PS5,"['PS4', 'PS5']",£32.99,£19.79,-40%,GAME_BUNDLE,19,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Rust Console Edition,['PS4'],£44.99,£33.74,-25%,FULL_GAME,20,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Need for Speed™ Heat Deluxe Edition,['PS4'],£69.99,£13.99,-80%,FULL_GAME,21,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Call of Duty®: Black Ops Cold War - Cross-Gen Bundle PS4™ & PS5™,"['PS4', 'PS5']",£64.99,£32.49,-50%,FULL_GAME,22,WM_EU_DEALS,2022-07-22 00:00:00+00:00
