image,description,category,collection,price
https://www.tradeinn.com/h/13835/138357411/spalding-slam-dunk-basketball-ball.jpg,spalding slam dunk basketball ball,equipment,balls,12.99
https://www.tradeinn.com/h/13835/138357390/spalding-max-grip-basketball-ball.jpg,spalding max grip basketball ball,equipment,balls,38.99
https://www.tradeinn.com/h/13837/138377737/nike-everyday-playground-8p-next-nature-deflated-basketball-ball.jpg,nike everyday playground 8p next nature deflated basketball ball,equipment,balls,21.99
https://www.tradeinn.com/h/13893/138936721/sklz-pro-mini-hoop-swish-foam-ball.jpg,sklz pro mini hoop swish foam ball,equipment,balls,7.99
https://www.tradeinn.com/h/13837/138377738/nike-everyday-playground-8p-next-nature-deflated-basketball-ball.jpg,nike everyday playground 8p next nature deflated basketball ball,equipment,balls,21.49
https://www.tradeinn.com/h/13837/138377729/nike-everyday-playground-8p-deflated-basketball-ball.jpg,nike everyday playground 8p deflated basketball ball,equipment,balls,17.99
https://www.tradeinn.com/h/13896/138968692/adidas-3-stripes-rubber-x3-basketball-ball.jpg,adidas 3 stripes rubber x3 basketball ball,equipment,balls,13.99
https://www.tradeinn.com/h/13837/138377726/nike-everyday-all-court-8p-deflated-basketball-ball.jpg,nike everyday all court 8p deflated basketball ball,equipment,balls,26.99
https://www.tradeinn.com/h/13837/138377731/nike-everyday-playground-8p-deflated-basketball-ball.jpg,nike everyday playground 8p deflated basketball ball,equipment,balls,18.49
https://www.tradeinn.com/h/13660/136608220/nike-skills-basketball-ball.jpg,nike skills basketball ball,equipment,balls,13.49
https://www.tradeinn.com/h/13835/138357362/spalding-commander-solid-basketball-ball.jpg,spalding commander solid basketball ball,equipment,balls,19.99
https://www.tradeinn.com/h/13896/138968939/adidas-all-court-3.0-basketball-ball.jpg,adidas all court 3.0 basketball ball,equipment,balls,21.99
https://www.tradeinn.com/h/13944/139448861/nike-basketball-ball.jpg,nike basketball ball,equipment,balls,11.99
https://www.tradeinn.com/h/13871/138710583/softee-nylon-basketball-ball.jpg,softee nylon basketball ball,equipment,balls,5.99
https://www.tradeinn.com/h/13887/138875053/nike-everyday-playground-8p-graphic-deflated-basketball-ball.jpg,nike everyday playground 8p graphic deflated basketball ball,equipment,balls,20.99
https://www.tradeinn.com/h/13835/138357399/spalding-react-tf-250-basketball-ball.jpg,spalding react tf-250 basketball ball,equipment,balls,31.99
https://www.tradeinn.com/h/14005/140052018/nike-skills-basketball-ball.jpg,nike skills basketball ball,equipment,balls,13.99
https://www.tradeinn.com/h/13839/138392325/wilson-nba-drv-plus-basketball-ball.jpg,wilson nba drv plus basketball ball,equipment,balls,19.49
https://www.tradeinn.com/h/13871/138710561/softee-jump-basketball-ball.jpg,softee jump basketball ball,equipment,balls,6.49
https://www.tradeinn.com/h/13815/138159796/nike-elite-championship-8p-2.0-deflated-basketball-ball.jpg,nike elite championship 8p 2.0 deflated basketball ball,equipment,balls,66.99
https://www.tradeinn.com/h/13871/138710547/softee-hand-basketball-ball.jpg,softee hand basketball ball,equipment,balls,6.49
https://www.tradeinn.com/h/13914/139146484/nike-lebron-james-playground-8p-2.0-basketball-ball.jpg,nike lebron james playground 8p 2.0 basketball ball,equipment,balls,25.99
