image,description,category,collection,price
https://www.tradeinn.com/h/13911/139114161/toimsa-bikes-spiderman-huffy-14-bike.jpg,toimsa bikes spiderman huffy 14´´ bike,bike,kid,126.99
https://www.tradeinn.com/h/13911/139114057/toimsa-bikes-blue-ice-16-bike.jpg,toimsa bikes blue ice 16´´ bike,bike,kid,109.99
https://www.tradeinn.com/h/13911/139114134/toimsa-bikes-rider-bike-14-fantasy.jpg,toimsa bikes rider bike 14´´ fantasy,bike,kid,108.99
https://www.tradeinn.com/h/13978/139784630/toimsa-bikes-paw-patrol-16-bike.jpg,toimsa bikes paw patrol 16´´ bike,bike,kid,136.99
https://www.tradeinn.com/h/13911/139114162/toimsa-bikes-spiderman-huffy-16-bike.jpg,toimsa bikes spiderman huffy 16´´ bike,bike,kid,148.99
https://www.tradeinn.com/h/13911/139114056/toimsa-bikes-blue-ice-14-bike.jpg,toimsa bikes blue ice 14´´ bike,bike,kid,108.99
https://www.tradeinn.com/h/13911/139114105/toimsa-bikes-minnie-huffy-14-bike.jpg,toimsa bikes minnie huffy 14´´ bike,bike,kid,137.99
https://www.tradeinn.com/h/13911/139114104/toimsa-bikes-minnie-huffy-12-bike.jpg,toimsa bikes minnie huffy 12´´ bike,bike,kid,111.99
https://www.tradeinn.com/h/13978/139784628/toimsa-bikes-lady-bug-16-bike.jpg,toimsa bikes lady bug 16´´ bike,bike,kid,125.49
https://www.tradeinn.com/h/13911/139114116/toimsa-bikes-paw-patrol-morado-16-bike.jpg,toimsa bikes paw patrol morado 16´´ bike,bike,kid,136.99
https://www.tradeinn.com/h/13846/138469164/toimsa-bikes-bicycle-peppa-pig-14.jpg,toimsa bikes bicycle peppa pig 14´´,bike,kid,127.99
https://www.tradeinn.com/h/13911/139114112/toimsa-bikes-paw-patrol-14-bike.jpg,toimsa bikes paw patrol 14´´ bike,bike,kid,137.99
https://www.tradeinn.com/h/13972/139725237/toimsa-bikes-bicycle-child-paw-patrol-14.jpg,toimsa bikes bicycle child paw patrol 14´´,bike,kid,127.99
https://www.tradeinn.com/h/13911/139114091/toimsa-bikes-frozen-huffy-14-bike.jpg,toimsa bikes frozen huffy 14´´ bike,bike,kid,126.99
https://www.tradeinn.com/h/13911/139114126/toimsa-bikes-princesas-huffy-16-bike.jpg,toimsa bikes princesas huffy 16´´ bike,bike,kid,140.99
