title,age,price,image_src,age_group
3in1 Family House,3+,"€139,99",https://www.lego.com/cdn/cs/set/assets/bltcf410a5007513116/10994.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Mickey & Minnie Birthday Train,2+,"€34,99",https://www.lego.com/cdn/cs/set/assets/blta1999c7058f17ae7/10941_alt2.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Construction Site,2+,"€64,99",https://www.lego.com/cdn/cs/set/assets/bltaae5491bf55f2106/10990.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
LEGO® DUPLO® Green Building Plate,1.5+,"€14,99",https://www.lego.com/cdn/cs/set/assets/bltfc1a82b22d9fceed/10980.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Lightning McQueen & Mater's Car Wash Fun,2+,"€34,99",https://www.lego.com/cdn/cs/set/assets/bltcf2b7a97846e8583/10996.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Brick Box,1.5+,"€29,99",https://www.lego.com/cdn/cs/set/assets/blte88e29b40e206dc1/10913.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Heart Box,1.5+,"€19,99",https://www.lego.com/cdn/cs/set/assets/blt3f022bad6721accf/10909.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Deluxe Brick Box,1.5+,"€49,99",https://www.lego.com/cdn/cs/set/assets/blt22e1a2650fceb167/10914.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Number Train - Learn To Count,1.5+,"€19,99",https://www.lego.com/cdn/cs/set/assets/blt4cd999af64e1f8c8/10954.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Fire Engine,2+,"€29,99",https://www.lego.com/cdn/cs/set/assets/blt64692d077f5fd037/10969.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Alphabet Town,1.5+,"€49,99",https://www.lego.com/cdn/cs/set/assets/blt414b13bae650fa77/10935.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Fruit and Vegetable Tractor,1.5+,"€19,99",https://www.lego.com/cdn/cs/set/assets/blt403c9cb031c25ef2/10982.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Truck & Tracked Excavator,2+,"€19,99",https://www.lego.com/cdn/cs/set/assets/blt89257c0a4adc37d3/10931_alt4.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
