,title,age,suggested_price(€),image_src,age_group
0,3in1 Family House,3.0,139.99,https://www.lego.com/cdn/cs/set/assets/bltcf410a5007513116/10994.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
1,Mickey & Minnie Birthday Train,2.0,34.99,https://www.lego.com/cdn/cs/set/assets/blta1999c7058f17ae7/10941_alt2.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
2,Construction Site,2.0,64.99,https://www.lego.com/cdn/cs/set/assets/bltaae5491bf55f2106/10990.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
3,LEGO® DUPLO® Green Building Plate,15.0,14.99,https://www.lego.com/cdn/cs/set/assets/bltfc1a82b22d9fceed/10980.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
4,Lightning McQueen & Mater's Car Wash Fun,2.0,34.99,https://www.lego.com/cdn/cs/set/assets/bltcf2b7a97846e8583/10996.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
5,Brick Box,15.0,29.99,https://www.lego.com/cdn/cs/set/assets/blte88e29b40e206dc1/10913.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
6,Heart Box,15.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt3f022bad6721accf/10909.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
7,Deluxe Brick Box,15.0,49.99,https://www.lego.com/cdn/cs/set/assets/blt22e1a2650fceb167/10914.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
8,Number Train - Learn To Count,15.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt4cd999af64e1f8c8/10954.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
9,Fire Engine,2.0,29.99,https://www.lego.com/cdn/cs/set/assets/blt64692d077f5fd037/10969.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
10,Alphabet Town,15.0,49.99,https://www.lego.com/cdn/cs/set/assets/blt414b13bae650fa77/10935.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
11,Fruit and Vegetable Tractor,15.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt403c9cb031c25ef2/10982.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
12,Truck & Tracked Excavator,2.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt89257c0a4adc37d3/10931_alt4.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
13,Belle's Ballroom,2.0,,https://www.lego.com/cdn/cs/set/assets/blt5d5fbcb78e52fb5d/10960.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
14,Wild Animals of Africa,2.0,9.99,https://www.lego.com/cdn/cs/set/assets/blt8638d927ddbc641a/10971.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
15,3in1 Magical Castle,3.0,99.99,https://www.lego.com/cdn/cs/set/assets/blt91803d075e193ca8/10998.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
16,Wild Animals of the World,2.0,129.99,https://www.lego.com/cdn/cs/set/assets/blt872dd178b82ee979/10975.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
17,Wind Turbine and Electric Car,2.0,9.99,https://www.lego.com/cdn/cs/set/assets/blt3d6467f126282c0a/10985.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
18,Bath Time Fun: Floating Animal Train,15.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt7dc95dd9e7c27256/10965.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
19,Spider-Man's House,2.0,24.99,https://www.lego.com/cdn/cs/set/assets/blt9c4bb444e9538d20/10995.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
20,Recycling Truck,2.0,19.99,https://www.lego.com/cdn/cs/set/assets/blte30791b40161f7e1/10987.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
21,3in1 Tree House,3.0,89.99,https://www.lego.com/cdn/cs/set/assets/bltaaa285deafaadfb0/10993.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
22,Dream Playground,2.0,52.99,https://www.lego.com/cdn/cs/set/assets/bltc5fe87f0a020a7e4/10991.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
23,Family House on Wheels,2.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt2dfb610145d101de/10986.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
24,Police Station & Helicopter,2.0,49.99,https://www.lego.com/cdn/cs/set/assets/blt55e671eea9ee7ce2/10959_alt9.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
25,Santa's Gingerbread House,2.0,34.99,https://www.lego.com/cdn/cs/set/assets/blt6eb2ee03f320eca4/10976.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
26,Growing Carrot,15.0,9.99,https://www.lego.com/cdn/cs/set/assets/blt88f7172efa6c791f/10981.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
27,Space Shuttle Mission,2.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt95f3ee09ff3a70a7/10944.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
28,My First Puppy & Kitten With Sounds,15.0,,https://www.lego.com/cdn/cs/set/assets/blt568536537aedc20b/10977.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
29,Wild Animals of the Ocean,2.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt8d830cb0f7a69e2e/10972.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
30,The Bus Ride,2.0,19.99,https://www.lego.com/cdn/cs/set/assets/bltc3b2753f3ceb7e72/10988.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
31,Farm Animal Care,2.0,9.99,https://www.lego.com/cdn/cs/set/assets/blt2d9e88973c9e5a2a/10949_alt9.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
32,Learn About Chinese Culture,2.0,,https://www.lego.com/cdn/cs/set/assets/bltd44de540fa59ecda/10411.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
33,Police Motorcycle,2.0,9.99,https://www.lego.com/cdn/cs/set/assets/blt38427cb280998bfb/10967.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
34,Life At The Day Nursery,2.0,47.99,https://www.lego.com/cdn/cs/set/assets/blt74129375ad67293f/10992.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
35,Buzz Lightyear’s Planetary Mission,2.0,34.99,https://www.lego.com/cdn/cs/set/assets/blt6bb8d74b60ac0545/10962.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
36,Wild Animals of Asia,2.0,99.99,https://www.lego.com/cdn/cs/set/assets/bltdd2f965345b78fee/10974.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
37,Large Silly Ceramic Mug,3.0,24.99,https://www.lego.com/cdn/cs/set/assets/blt0d820260466ad7bb/5007874.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
38,Bath Time Fun: Floating Animal Island,15.0,,https://www.lego.com/cdn/cs/set/assets/blt36606e8eb36cc0cb/10966.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
39,Lloyd,1.0,34.99,https://www.lego.com/cdn/cs/set/assets/blt69277523e1a19b07/5007964.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
40,Large Skeleton Ceramic Mug,3.0,24.99,https://www.lego.com/cdn/cs/set/assets/blt0444ef056ce6c1db/5007885.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
41,Baby Dragon,1.0,34.99,https://www.lego.com/cdn/cs/set/assets/blt464dd1a6d43482dc/5007962.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
42,Organic Garden,15.0,44.99,https://www.lego.com/cdn/cs/set/assets/bltb254d58162db9302/10984.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
43,Camping Adventure,2.0,52.99,https://www.lego.com/cdn/cs/set/assets/bltc9eda03e4d12f983/10997.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
44,Wild Animals of Europe,2.0,59.99,https://www.lego.com/cdn/cs/set/assets/blta1906c51a5e1fc87/10979.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
45,Organic Market,15.0,29.99,https://www.lego.com/cdn/cs/set/assets/blt284bdd22c1dd1078/10983.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
46,Kai,1.0,34.99,https://www.lego.com/cdn/cs/set/assets/bltfe2b9a8f65a29922/5007960.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
47,Water Park,2.0,42.99,https://www.lego.com/cdn/cs/set/assets/bltd7acf475bfb6abae/10989.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
48,Large Skeleton Storage Head – Green,3.0,24.99,https://www.lego.com/cdn/cs/set/assets/blt1876ab6199c75979/5007889.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
49,Bath Time Fun: Floating Red Panda,15.0,9.99,https://www.lego.com/cdn/cs/set/assets/blt528b3e72447b59d7/10964.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
50,Large Happy Ceramic Mug,3.0,24.99,https://www.lego.com/cdn/cs/set/assets/bltb2663b36d5325bc9/5007877.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
51,Hydration Bottle 0.5 L – Discovery,3.0,17.99,https://www.lego.com/cdn/cs/set/assets/blt2ac7ccf5f7932a66/5007788.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
52,Large Winking Girl Ceramic Mug,3.0,24.99,https://www.lego.com/cdn/cs/set/assets/bltee852267980aea9e/5007876.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
53,Creative Building Time,15.0,,https://www.lego.com/cdn/cs/set/assets/blt36a823b4ca69c278/10978.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
54,Sora,1.0,34.99,https://www.lego.com/cdn/cs/set/assets/blt7d77644a221a760c/5007961.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
55,Arin,1.0,34.99,https://www.lego.com/cdn/cs/set/assets/blt9c149c208cef2e68/5007963.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
56,Doctor Visit,2.0,19.99,https://www.lego.com/cdn/cs/set/assets/blteba8a8816c285dcb/10968.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
57,Amusement Park,2.0,129.99,https://www.lego.com/cdn/cs/set/assets/blt12dfd064a5c34f7b/10956.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
58,Large Ceramic Mug,3.0,24.99,https://www.lego.com/cdn/cs/set/assets/blt459cc83bc4c10cca/5007875.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
59,Small Skeleton Storage Head – Green,3.0,16.99,https://www.lego.com/cdn/cs/set/assets/blt25cbc5080b822b0b/5007888.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
60,Large Skeleton Ceramic Mug – Green,3.0,24.99,https://www.lego.com/cdn/cs/set/assets/blt865c9d0838628e2d/5007886.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
