,image_src,title,category,collection,suggested_price(€)
0,https://www.tradeinn.com/h/14045/140459970/star-vie-triton-padel-racket.jpg,star vie triton padel racket,equipment,padel,232.49
1,https://www.tradeinn.com/h/13795/137951941/head-flash-padel-racket.jpg,head flash padel racket,equipment,padel,99.0
2,https://www.tradeinn.com/h/13849/138491272/head-graphene-tornado-plus-padel-racket.jpg,head graphene tornado plus padel racket,equipment,padel,200.0
3,https://www.tradeinn.com/h/13969/139698507/4on-total-grip-spray-200ml.jpg,4on total grip spray 200ml,equipment,padel,22.99
4,https://www.tradeinn.com/h/13926/139261723/head-revolt-padel-racket.jpg,head revolt padel racket,equipment,padel,51.49
5,https://www.tradeinn.com/h/13987/139879323/wilson-pro-overgrip-3-units.jpg,wilson pro overgrip 3 units,equipment,padel,6.99
6,https://www.tradeinn.com/h/13966/139662288/bullpadel-vertex-03-comfort-padel-racket.jpg,bullpadel vertex 03 comfort padel racket,equipment,padel,121.99
7,https://www.tradeinn.com/h/13966/139662290/bullpadel-vertex-03-padel-racket.jpg,bullpadel vertex 03 padel racket,equipment,padel,178.49
8,https://www.tradeinn.com/h/13926/139261724/head-revolt-padel-racket-with-cober.jpg,head revolt padel racket with cober,equipment,padel,51.99
9,https://www.tradeinn.com/h/13849/138491273/head-graphene-tornado-pro-padel-racket.jpg,head graphene tornado pro padel racket,equipment,padel,200.0
10,https://www.tradeinn.com/h/13968/139680217/head-flash-2023-padel-racket.jpg,head flash 2023 padel racket,equipment,padel,67.99
11,https://www.tradeinn.com/h/13795/137951942/head-flash-padel-racket.jpg,head flash padel racket,equipment,padel,99.0
12,https://www.tradeinn.com/h/13968/139680215/head-flash-2023-padel-racket.jpg,head flash 2023 padel racket,equipment,padel,67.99
13,https://www.tradeinn.com/h/13900/139000359/drop-shot-pro-shadow-padel-racket.jpg,drop shot pro shadow padel racket,equipment,padel,150.0
14,https://www.tradeinn.com/h/13948/139485471/head-speed-pro-2023-padel-racket.jpg,head speed pro 2023 padel racket,equipment,padel,171.99
15,https://www.tradeinn.com/h/13795/137951943/head-evo-sanyo-padel-racket.jpg,head evo sanyo padel racket,equipment,padel,90.0
16,https://www.tradeinn.com/h/13968/139680216/head-flash-2023-padel-racket.jpg,head flash 2023 padel racket,equipment,padel,67.99
