,title,rank_in_sale,suggested_price(€)
0,LEGO® Star Wars™:The Skywalker Saga Deluxe Edition PS4 & PS5,1,70.1883
1,WWE 2K22 for PS4™,2,70.1883
2,WWE 2K22 for PS5™,3,76.03829999999999
3,Call of Duty®: Vanguard - Cross-Gen Bundle,4,81.88829999999999
4,God of War™,5,18.708299999999998
5,STAR WARS Jedi: Fallen Order™,6,52.6383
6,Grand Theft Auto V: Premium Edition,7,35.0883
7,The Quarry for PS4™,8,70.1883
8,The Quarry for PS5™,9,76.03829999999999
9,Red Dead Redemption 2,10,64.3383
10,It Takes Two PS4™ & PS5™,11,40.9383
11,FAR CRY®6 Standard Edition PS4 & PS5,12,70.1883
12,Ratchet & Clank: Rift Apart,13,81.88829999999999
13,Sifu,14,38.5983
14,Ghostwire: Tokyo,15,70.1883
15,TEKKEN 7,16,46.7883
16,Batman: Arkham Collection,17,58.488299999999995
17,UFC® 4,18,64.3383
18,Kena: Bridge of Spirits PS4 & PS5,19,38.5983
19,Rust Console Edition,20,52.6383
20,Need for Speed™ Heat Deluxe Edition,21,81.88829999999999
21,Call of Duty®: Black Ops Cold War - Cross-Gen Bundle PS4™ & PS5™,22,76.03829999999999
22,UNCHARTED: Legacy of Thieves Collection,23,52.6383
23,Tom Clancy's Ghost Recon® Breakpoint,24,70.1883
24,Assassin's Creed® Origins,25,58.488299999999995
25,Call of Duty®: Vanguard - Ultimate Edition,26,116.98829999999998
26,WWE 2K22 nWo 4-Life Edition,27,122.83829999999999
27,No Man's Sky PS4 & PS5,28,46.7883
28,Grand Theft Auto: The Trilogy – The Definitive Edition (PS5 & PS4),29,64.3383
29,HITMAN 3 - Standard Edition,30,64.3383
30,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,31,18.708299999999998
31,Green Hell,32,23.388299999999997
32,Assassin's Creed® Origins - GOLD EDITION,33,87.7383
33,GTA Online: Megalodon Shark Cash Card (PS4™),34,76.03829999999999
34,Battlefield™ 2042 PS4™,35,70.1883
35,Battlefield™ 2042 PS5™,36,81.88829999999999
36,Destiny 2: The Witch Queen,37,40.9383
37,FAR CRY®6 Gold Edition PS4 & PS5,38,99.43829999999998
38,Jurassic World Evolution 2: Deluxe Edition,39,70.1883
39,ARK: Survival Evolved,40,29.238299999999995
40,Mortal Kombat 11,41,46.7883
41,Sackboy: A Big Adventure PS4 & PS5,42,70.1883
42,Jurassic World Evolution 2,43,58.488299999999995
43,The Crew 2 Special Edition,44,56.1483
44,STAR WARS™ Battlefront™ II,45,21.048299999999998
45,"Black Desert - 11,500 Pearls",46,86.5683
46,Far Cry®5,47,58.488299999999995
47,Crash Bandicoot™ N. Sane Trilogy,48,40.9383
48,Dead by Daylight PS4™ & PS5™,49,29.238299999999995
49,Dying Light Definitive Edition,50,56.1483
50,Sonic Origins Digital Deluxe PS4 & PS5,51,43.2783
51,Destiny 2: Legacy Collection,52,58.488299999999995
52,Devil May Cry 5 Special Edition,53,40.9383
53,DOOM Eternal Standard Edition,54,40.9383
54,ONE PIECE: PIRATE WARRIORS 4,55,58.488299999999995
55,Tales of Arise PS4 & PS5,56,58.488299999999995
56,Tiny Tina's Wonderlands: Next-Level Edition,57,76.03829999999999
57,Mafia: Trilogy,58,58.488299999999995
58,Biomutant,59,64.3383
59,GTA+: Megalodon Shark Cash Card (PS5™),60,
60,Sid Meier’s Civilization VI,61,29.238299999999995
61,Destiny 2: The Witch Queen Deluxe + Bungie 30th Anniversary Bundle,62,102.94829999999999
62,The Ascent PS4 & PS5,63,29.238299999999995
63,GTA Online: Megalodon Shark Cash Card (PS5™),64,76.03829999999999
64,Ratchet & Clank: Rift Apart Digital Deluxe Edition,65,93.58829999999999
65,NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,66,56.1483
66,Red Dead Online,67,21.048299999999998
67,SnowRunner - Premium Edition,68,58.488299999999995
68,SnowRunner - Premium Edition,69,58.488299999999995
69,DRAGON BALL FIGHTERZ,70,56.1483
70,Borderlands 3 PS4™ &  PS5™,71,70.1883
71,Uncharted™: The Nathan Drake Collection,72,18.708299999999998
72,The Outer Worlds,73,58.488299999999995
73,Insurgency: Sandstorm - Gold Edition,74,81.88829999999999
74,Olympic Games Tokyo 2020 – The Official Video Game™,75,40.9383
75,Destiny 2: The Witch Queen Deluxe Edition,76,81.88829999999999
76,Kena: Bridge of Spirits Digital Deluxe PS4 & PS5,77,46.7883
77,Control: Ultimate Edition,78,38.5983
78,Control: Ultimate Edition,79,38.5983
79,UNCHARTED 4: A Thief’s End & UNCHARTED: The Lost Legacy Digital Bundle,80,40.9383
80,NARUTO TO BORUTO: SHINOBI STRIKER,81,58.488299999999995
81,Persona 5 Royal Deluxe Edition,82,64.3383
82,Thief Simulator,83,18.708299999999998
83,LEGO® CITY Undercover,84,56.1483
84,HOT WHEELS UNLEASHED™,85,46.7883
85,HOT WHEELS UNLEASHED™,86,46.7883
86,NBA 2K22 NBA 75th Anniversary Edition for PS5™,87,99.43829999999998
87,Devil May Cry 5 + Vergil,88,29.238299999999995
88,Diablo® II: Resurrected™,89,40.9383
89,Ghostwire: Tokyo Deluxe Edition,90,93.58829999999999
90,GRID Legends PS4 & PS5,91,70.1883
91,FIFA 22 Ultimate Edition PS4™ & PS5™,92,105.28829999999999
92,Sid Meier’s Civilization® VI Anthology Upgrade Bundle,93,52.6383
93,MotoGP™22 PS4 & PS5,94,70.1883
94,Mafia: Definitive Edition,95,40.9383
95,DRAGON BALL XENOVERSE 2 - Legendary Pack Set,96,16.368299999999998
96,Human: Fall Flat PS4 & PS5,97,18.708299999999998
97,Human: Fall Flat,98,18.708299999999998
98,Terraria – PlayStation®4 Edition,99,15.1983
99,The Stanley Parable: Ultra Deluxe,100,21.048299999999998
100,Assetto Corsa Competizione,101,40.9383
101,LEGO® Harry Potter™ Collection,102,40.9383
102,Bloodborne™,103,18.708299999999998
103,PGA TOUR 2K21,104,58.488299999999995
104,Batman: Arkham Knight,105,18.708299999999998
105,Overcooked! 2,106,23.388299999999997
106,Evil Dead: The Game PS4 & PS5,107,40.9383
107,Assetto Corsa Competizione,108,40.9383
108,SpellForce III Reforced: Complete Edition,109,64.3383
109,SpellForce III Reforced: Complete Edition,110,64.3383
110,Tourist Bus Simulator,111,29.238299999999995
111,Golf With Your Friends,112,18.708299999999998
112,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles Deluxe Edition PS4 & PS5,113,64.3383
113,STAR WARS™ Battlefront™ II: Celebration Edition Upgrade,114,23.388299999999997
114,The Dark Pictures Anthology: House of Ashes PS4 & PS5,115,29.238299999999995
115,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,116,46.7883
116,Disco Elysium - The Final Cut,117,38.5983
117,LEGO® Marvel Collection,118,58.488299999999995
118,Nioh 2,119,40.9383
119,Diablo® Prime Evil Collection,120,58.488299999999995
120,Injustice™ 2 - Legendary Edition,121,56.1483
121,Immortals Fenyx Rising™ PS4 & PS5,122,70.1883
122,Lost Judgment Digital Ultimate Edition PS4 & PS5,123,87.7383
123,Car Mechanic Simulator 2021,124,29.238299999999995
124,RIDE 4,125,58.488299999999995
125,RIDE 4,126,58.488299999999995
126,Assassin's Creed® Rogue Remastered,127,29.238299999999995
127,Destiny 2: Bungie 30th Anniversary Pack,128,25.728299999999997
128,Psychonauts 2,129,58.488299999999995
129,Kao the Kangaroo,130,29.238299999999995
130,Kao the Kangaroo,131,29.238299999999995
131,Tomb Raider: Definitive Edition,132,18.708299999999998
132,Rust Console Edition - Deluxe,133,58.488299999999995
133,Hell Let Loose,134,40.9383
134,HOT WHEELS UNLEASHED™ - Ultimate Stunt Edition,135,81.88829999999999
135,HOT WHEELS UNLEASHED™ - Ultimate Stunt Edition,136,81.88829999999999
136,Mortal Kombat 11 Ultimate Add-On Bundle,137,46.7883
137,Mortal Kombat 11 Ultimate Add-On Bundle,138,46.7883
138,Sherlock Holmes Chapter One,139,43.2783
139,ARK: Genesis Season Pass,140,29.238299999999995
140,Sonic Colours: Ultimate,141,40.9383
141,RIDE 4 - Special Edition,142,87.7383
142,RIDE 4 - Special Edition,143,87.7383
143,Ancestors: The Humankind Odyssey,144,38.5983
144,LEGO® Marvel’s Avengers Deluxe Edition,145,61.9983
145,NARUTO TO BORUTO: SHINOBI STRIKER Season Pass 2,146,29.238299999999995
146,FINAL FANTASY VII REMAKE INTERGRADE,147,81.86489999999999
147,NieR Replicant ver.1.22474487139…,148,58.488299999999995
148,WRC 10 - Deluxe Edition PS4 & PS5,149,76.03829999999999
149,STRANGER OF PARADISE FINAL FANTASY ORIGIN PS4 & PS5,150,70.1883
150,Canis Canem Edit,151,14.0283
151,Lawn Mowing Simulator PS4 & PS5,152,18.708299999999998
152,Dragon's Dogma: Dark Arisen,153,23.388299999999997
153,ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Ultimate Edition,154,99.43829999999998
154,CODE VEIN,155,58.488299999999995
155,Battlefield™ V,156,40.9383
156,Far Cry® 6 Season Pass,157,38.5983
157,ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,158,70.1883
158,The Nioh Collection,159,81.88829999999999
159,TEKKEN 7 - Originals Edition,160,87.7383
160,ONE PIECE World Seeker Deluxe Edition,161,91.24829999999999
161,UNO®,162,9.3483
162,NARUTO TO BORUTO: SHINOBI STRIKER Season Pass 3,163,14.0283
163,LEGO® Marvel Super Heroes 2 Deluxe Edition,164,64.3383
164,Borderlands 3 Season Pass Bundle,165,72.5283
165,Monster Hunter World: Iceborne,166,29.238299999999995
166,Overcooked! All You Can Eat,167,
167,Overcooked! All You Can Eat,168,35.6733
168,NINJA GAIDEN: Master Collection,169,38.5983
169,Sleeping Dogs™ Definitive Edition,170,29.238299999999995
170,Conan Exiles,171,52.6383
171,The Evil Within 2,172,40.9383
172,The Sinking City: Necronomicon Edition,173,58.488299999999995
173,Resident Evil Triple Pack,174,46.7883
174,MY HERO ONE'S JUSTICE 2,175,58.488299999999995
175,Destiny 2: Beyond Light,176,29.238299999999995
176,PAYDAY 2: THE CRIMEWAVE COLLECTION,177,29.238299999999995
177,"Black Desert - 6,600 Pearls",178,52.6383
178,GRID Legends PS4 & PS5,179,70.1883
179,Aliens: Fireteam Elite PS4 & PS5,180,40.9383
180,Dreams™,181,40.9383
181,Batman™: Arkham Knight Season Pass,182,18.708299999999998
182,Middle-earth™: Shadow of War™ Definitive Edition,183,46.7883
183,A Plague Tale: Innocence,184,
184,A Plague Tale: Innocence,185,40.9383
185,Need for Speed™ Rivals,186,18.708299999999998
186,ARK: Survival Evolved Season Pass,187,23.388299999999997
187,Dragon Age™: Inquisition - Game of the Year Edition,188,29.238299999999995
188,Death's Door,189,18.708299999999998
189,DiRT Rally 2.0,190,29.238299999999995
190,Black Desert: Traveler Edition,191,29.238299999999995
191,Worms W.M.D,192,23.388299999999997
192,Judgment,193,29.238299999999995
193,Borderlands 3: Super Deluxe Edition PS4™ &  PS5™,194,81.88829999999999
194,Surviving the Aftermath,195,29.238299999999995
195,Conan Exiles - Isle of Siptah,196,18.708299999999998
196,FF7R EPISODE INTERmission (New Story Content Featuring Yuffie),197,
197,The Evil Within,198,18.708299999999998
198,Rugby 20,199,29.238299999999995
199,STAR WARS™: Squadrons,200,40.9383
200,Sniper Ghost Warrior Contracts 2 Complete Edition,201,58.488299999999995
201,SCARLET NEXUS Deluxe Edition PS4 & PS5,202,64.3383
202,Titanfall™ 2 Standard Edition,203,21.048299999999998
203,Goat Simulator,204,9.3483
204,Need for Speed™ Payback - Deluxe Edition,205,40.9383
205,FINAL FANTASY VII REMAKE,206,70.1883
206,SOULCALIBUR Ⅵ Deluxe Edition,207,93.58829999999999
207,Yakuza: Like a Dragon Hero Edition PS4 & PS5,208,76.03829999999999
208,Rust Console Edition - Ultimate,209,77.2083
209,The Outer Worlds Expansion Pass,210,23.388299999999997
210,Werewolf: The Apocalypse - Earthblood Champion of Gaia,211,58.488299999999995
211,Werewolf: The Apocalypse - Earthblood Champion of Gaia,212,58.488299999999995
212,Grand Theft Auto V (PS4™ & PS5™),213,58.488299999999995
213,The Sinking City PS5 Deluxe Edition,214,63.168299999999995
214,Neptunia x SENRAN KAGURA: Ninja Wars,215,52.6383
215,"Black Desert - 3,200 Pearls",216,28.068299999999997
216,Sherlock Holmes: Crimes and Punishments + Sherlock Holmes: The Devil's Daughter bundle,217,63.168299999999995
217,Ni no Kuni™ II: Revenant Kingdom - The Prince's Edition,218,81.88829999999999
218,Nioh 2 Remastered – The Complete Edition PS4 & PS5,219,58.488299999999995
219,Need for Speed™ Deluxe Edition,220,23.388299999999997
220,"Black Desert - 4,360 Pearls",221,37.42829999999999
221,Middle-earth™: Shadow of Mordor™-Game of the Year Edition,222,56.1483
222,Worms™ Battlegrounds,223,23.388299999999997
223,STRANGER OF PARADISE FINAL FANTASY ORIGIN Digital Deluxe Edition PS4 & PS5,224,99.43829999999998
224,Catherine: Full Body Deluxe Edition,225,52.6383
225,Back 4 Blood: Ultimate Edition PS4 & PS5,226,116.96489999999999
226,Ni no Kuni™ II: Revenant Kingdom,227,56.1483
227,Black Desert: Conqueror Edition,228,93.58829999999999
228,The Escapists 2,229,23.388299999999997
229,Mortal Kombat XL,230,46.7883
230,Monster Hunter World: Iceborne Master Edition,231,40.9383
231,Atelier Mysterious Trilogy Deluxe Pack,232,86.5683
