image,description,category,collection,price
https://www.tradeinn.com/h/14037/140370833/apple-watch-ultra-2-gps-cellular-loop-alpine-49-mm.jpg,apple watch ultra 2 gps+cellular loop alpine 49 mm,equipment,gps,998.99
https://www.tradeinn.com/h/13945/139458006/samsung-galaxy-watch-5-pro-4g-45-mm-smartwatch.jpg,samsung galaxy watch 5 pro 4g 45 mm smartwatch,equipment,watch,412.99
https://www.tradeinn.com/h/14037/140371252/apple-watch-series-9-gps-cellular-sport-45-mm.jpg,apple watch series 9 gps+cellular sport 45 mm,equipment,gps,635.49
https://www.tradeinn.com/h/13721/137216707/garmin-etrex-32x-gps.jpg,garmin etrex 32x gps,equipment,gps,201.99
https://www.tradeinn.com/h/13715/137159617/garmin-forerunner-45s-watch.jpg,garmin forerunner 45s watch,equipment,watch,101.99
https://www.tradeinn.com/h/13715/137159605/garmin-forerunner-945-watch.jpg,garmin forerunner 945 watch,equipment,watch,297.99
https://www.tradeinn.com/h/13777/137779632/garmin-venu-sq-watch.jpg,garmin venu sq watch,equipment,watch,124.99
https://www.tradeinn.com/h/13798/137981093/polar-vantage-m2-watch.jpg,polar vantage m2 watch,equipment,watch,148.49
https://www.tradeinn.com/h/13721/137216706/garmin-etrex-22x-gps.jpg,garmin etrex 22x gps,equipment,gps,164.99
https://www.tradeinn.com/h/13776/137764744/garmin-forerunner-745-watch.jpg,garmin forerunner 745 watch,equipment,watch,254.49
https://www.tradeinn.com/h/13777/137779635/garmin-venu-sq-watch.jpg,garmin venu sq watch,equipment,watch,123.99
https://www.tradeinn.com/h/13776/137764743/garmin-forerunner-745-watch.jpg,garmin forerunner 745 watch,equipment,watch,251.99
https://www.tradeinn.com/h/13872/138726841/garmin-instinct-2-watch.jpg,garmin instinct 2 watch,equipment,watch,206.99
https://www.tradeinn.com/h/13776/137764745/garmin-forerunner-745-watch.jpg,garmin forerunner 745 watch,equipment,watch,254.49
https://www.tradeinn.com/h/13866/138665027/garmin-fenix-7-sapphire-solar-watch.jpg,garmin fenix 7 sapphire solar watch,equipment,watch,582.99
https://www.tradeinn.com/h/13715/137159620/garmin-forerunner-45-watch.jpg,garmin forerunner 45 watch,equipment,watch,99.49
https://www.tradeinn.com/h/13721/137216701/garmin-gpsmap-66i-gps.jpg,garmin gpsmap 66i gps,equipment,gps,378.99
https://www.tradeinn.com/h/13901/139015295/garmin-forerunner-955-non-solar-watch.jpg,garmin forerunner 955 non-solar watch,equipment,watch,396.99
https://www.tradeinn.com/h/13901/139015296/garmin-forerunner-955-solar-watch.jpg,garmin forerunner 955 solar watch,equipment,watch,478.99
https://www.tradeinn.com/h/13734/137340936/garmin-swim-2-watch.jpg,garmin swim 2 watch,equipment,watch,184.49
https://www.tradeinn.com/h/13872/138726839/garmin-instinct-2-solar-watch.jpg,garmin instinct 2 solar watch,equipment,watch,306.99
https://www.tradeinn.com/h/13807/138071009/garmin-venu-2-watch.jpg,garmin venu 2 watch,equipment,watch,279.99
https://www.tradeinn.com/h/13777/137779636/garmin-venu-sq-watch.jpg,garmin venu sq watch,equipment,watch,123.99
